timestamp,Electricity (kWh)
2022-03-09 11:03:30.000000 +00:00,82950.0302
2022-03-09 10:58:10.000000 +00:00,82948.9945
2022-03-09 10:53:50.000000 +00:00,82947.9301
2022-03-09 10:47:08.000000 +00:00,82946.8567
2022-03-09 10:40:48.000000 +00:00,82945.853
2022-03-09 10:36:08.000000 +00:00,82944.82400000001
2022-03-09 10:31:46.000000 +00:00,82943.8014
2022-03-09 10:25:06.000000 +00:00,82942.7775
2022-03-09 10:20:26.000000 +00:00,82941.7423
2022-03-09 10:13:44.000000 +00:00,82940.4822
2022-03-09 10:10:04.000000 +00:00,82939.4745
2022-03-09 10:06:24.000000 +00:00,82938.4643
2022-03-09 10:02:42.000000 +00:00,82937.4585
2022-03-09 09:59:42.000000 +00:00,82936.4183
2022-03-09 09:56:02.000000 +00:00,82935.4106
2022-03-09 09:50:02.000000 +00:00,82934.3959
2022-03-09 09:47:00.000000 +00:00,82933.3959
2022-03-09 09:42:40.000000 +00:00,82932.3922
2022-03-09 09:39:20.000000 +00:00,82931.326
2022-03-09 09:34:40.000000 +00:00,82930.2946
2022-03-09 09:28:38.000000 +00:00,82929.2885
2022-03-09 09:24:38.000000 +00:00,82928.2162
2022-03-09 09:20:18.000000 +00:00,82927.1428
2022-03-09 09:14:16.000000 +00:00,82926.1121
2022-03-09 09:09:36.000000 +00:00,82925.0366
2022-03-09 09:05:16.000000 +00:00,82924.0036
2022-03-09 09:00:36.000000 +00:00,82922.9899
2022-03-09 08:54:14.000000 +00:00,82921.8994
2022-03-09 08:45:54.000000 +00:00,82920.842
2022-03-09 08:39:52.000000 +00:00,82919.8307
2022-03-09 08:32:32.000000 +00:00,82918.7997
2022-03-09 08:23:30.000000 +00:00,82917.746
2022-03-09 08:13:10.000000 +00:00,82916.7163
2022-03-09 08:04:48.000000 +00:00,82915.7142
2022-03-09 07:54:29.000000 +00:00,82914.702
2022-03-09 07:44:07.000000 +00:00,82913.7018
2022-03-09 07:37:47.000000 +00:00,82912.6925
2022-03-09 07:28:05.000000 +00:00,82911.6695
2022-03-09 07:16:43.000000 +00:00,82910.6577
2022-03-09 07:06:43.000000 +00:00,82909.6056
2022-03-09 06:57:21.000000 +00:00,82908.547
2022-03-09 06:44:59.000000 +00:00,82907.5397
2022-03-09 06:37:19.000000 +00:00,82906.468
