timestamp,Heat 2nd floor (kWh)
2020-03-04 23:27:49.000000 +00:00,481647.0
2020-03-04 23:14:40.000000 +00:00,481645.0
2020-03-04 23:01:34.000000 +00:00,481644.0
2020-03-04 22:48:30.000000 +00:00,481642.0
2020-03-04 22:35:30.000000 +00:00,481639.0
2020-03-04 22:22:33.000000 +00:00,481635.0
2020-03-04 22:09:39.000000 +00:00,481631.0
2020-03-04 21:56:48.000000 +00:00,481629.0
2020-03-04 21:43:59.000000 +00:00,481628.0
2020-03-04 21:31:14.000000 +00:00,481626.0
2020-03-04 21:18:32.000000 +00:00,481625.0
2020-03-04 21:05:53.000000 +00:00,481623.0
2020-03-04 20:54:51.000000 +00:00,481621.0
2020-03-04 20:40:43.000000 +00:00,481619.0
2020-03-04 20:28:13.000000 +00:00,481616.0
2020-03-04 20:15:46.000000 +00:00,481612.0
2020-03-04 20:03:21.000000 +00:00,481609.0
2020-03-04 19:50:54.000000 +00:00,481605.0
2020-03-04 19:38:25.000000 +00:00,481601.0
2020-03-04 19:25:52.000000 +00:00,481598.0
2020-03-04 19:14:51.000000 +00:00,481597.0
2020-03-04 19:00:37.000000 +00:00,481594.0
2020-03-04 18:47:55.000000 +00:00,481592.0
2020-03-04 18:35:10.000000 +00:00,481589.0
2020-03-04 18:23:59.000000 +00:00,481585.0
2020-03-04 18:09:32.000000 +00:00,481584.0
2020-03-04 17:56:38.000000 +00:00,481583.0
2020-03-04 17:43:41.000000 +00:00,481582.0
2020-03-04 17:30:41.000000 +00:00,481581.0
2020-03-04 17:17:38.000000 +00:00,481580.0
2020-03-04 17:04:33.000000 +00:00,481579.0
2020-03-04 16:51:24.000000 +00:00,481578.0
2020-03-04 16:26:42.000000 +00:00,481577.0
2020-03-04 16:11:57.000000 +00:00,481576.0
2020-03-04 15:58:54.000000 +00:00,481575.0
2020-03-04 15:45:54.000000 +00:00,481574.0
2020-03-04 15:32:57.000000 +00:00,481573.0
2020-03-04 15:20:02.000000 +00:00,481572.0
2020-03-04 14:54:23.000000 +00:00,481571.0
2020-03-04 14:28:56.000000 +00:00,481569.0
2020-03-04 14:03:40.000000 +00:00,481567.0
2020-03-04 13:38:37.000000 +00:00,481565.0
2020-03-04 13:26:10.000000 +00:00,481564.0
2020-03-04 13:13:45.000000 +00:00,481563.0
2020-03-04 13:01:18.000000 +00:00,481562.0
2020-03-04 12:48:48.000000 +00:00,481560.0
2020-03-04 12:36:15.000000 +00:00,481557.0
2020-03-04 12:25:14.000000 +00:00,481555.0
2020-03-04 12:11:01.000000 +00:00,481554.0
2020-03-04 11:58:19.000000 +00:00,481553.0
2020-03-04 11:45:34.000000 +00:00,481552.0
2020-03-04 11:32:46.000000 +00:00,481551.0
2020-03-04 11:19:55.000000 +00:00,481550.0
2020-03-04 11:07:02.000000 +00:00,481549.0
2020-03-04 10:54:05.000000 +00:00,481548.0
2020-03-04 10:44:20.000000 +00:00,481547.0
2020-03-04 10:18:13.000000 +00:00,481546.0
2020-03-04 10:01:47.000000 +00:00,481544.0
2020-03-04 09:50:15.000000 +00:00,481543.0
2020-03-04 09:35:27.000000 +00:00,481542.0
2020-03-04 09:22:21.000000 +00:00,481540.0
2020-03-04 09:09:18.000000 +00:00,481539.0
2020-03-04 08:57:55.000000 +00:00,481537.0
2020-03-04 08:43:20.000000 +00:00,481536.0
2020-03-04 08:30:26.000000 +00:00,481534.0
2020-03-04 08:17:35.000000 +00:00,481532.0
2020-03-04 08:04:47.000000 +00:00,481530.0
2020-03-04 07:52:01.000000 +00:00,481526.0
2020-03-04 07:39:19.000000 +00:00,481521.0
2020-03-04 07:26:40.000000 +00:00,481517.0
2020-03-04 07:14:04.000000 +00:00,481512.0
2020-03-04 07:01:31.000000 +00:00,481508.0
2020-03-04 06:49:00.000000 +00:00,481504.0
2020-03-04 06:39:40.000000 +00:00,481499.0
2020-03-04 06:24:08.000000 +00:00,481495.0
2020-03-04 06:11:42.000000 +00:00,481490.0
2020-03-04 05:59:12.000000 +00:00,481485.0
2020-03-04 05:46:39.000000 +00:00,481482.0
2020-03-04 05:34:03.000000 +00:00,481479.0
2020-03-04 05:21:24.000000 +00:00,481477.0
2020-03-04 05:08:42.000000 +00:00,481475.0
2020-03-04 04:55:58.000000 +00:00,481473.0
2020-03-04 04:43:10.000000 +00:00,481470.0
2020-03-04 04:30:19.000000 +00:00,481465.0
2020-03-04 04:17:25.000000 +00:00,481461.0
2020-03-04 04:04:28.000000 +00:00,481457.0
2020-03-04 03:51:28.000000 +00:00,481452.0
2020-03-04 03:38:26.000000 +00:00,481450.0
2020-03-04 03:26:58.000000 +00:00,481448.0
2020-03-04 03:12:11.000000 +00:00,481446.0
2020-03-04 02:59:00.000000 +00:00,481444.0
2020-03-04 02:45:51.000000 +00:00,481440.0
2020-03-04 02:34:22.000000 +00:00,481436.0
2020-03-04 02:19:41.000000 +00:00,481431.0
2020-03-04 02:08:18.000000 +00:00,481428.0
2020-03-04 01:53:44.000000 +00:00,481426.0
2020-03-04 01:40:50.000000 +00:00,481424.0
2020-03-04 01:27:58.000000 +00:00,481422.0
2020-03-04 01:15:10.000000 +00:00,481421.0
2020-03-04 01:02:25.000000 +00:00,481418.0
2020-03-04 00:49:43.000000 +00:00,481414.0
2020-03-04 00:37:04.000000 +00:00,481409.0
2020-03-04 00:24:27.000000 +00:00,481407.0
2020-03-04 00:11:54.000000 +00:00,481405.0
2020-03-03 23:59:24.000000 +00:00,481403.0
2020-03-03 23:46:57.000000 +00:00,481401.0
2020-03-03 23:34:32.000000 +00:00,481399.0
2020-03-03 23:22:05.000000 +00:00,481397.0
2020-03-03 23:09:35.000000 +00:00,481393.0
2020-03-03 22:57:03.000000 +00:00,481389.0
2020-03-03 22:44:27.000000 +00:00,481385.0
2020-03-03 22:33:23.000000 +00:00,481383.0
2020-03-03 22:19:06.000000 +00:00,481381.0
2020-03-03 22:06:21.000000 +00:00,481379.0
2020-03-03 21:53:33.000000 +00:00,481377.0
2020-03-03 21:40:43.000000 +00:00,481375.0
